"","ex.sp","genus","family"
"16645","Stachyphrynium borneense","Stachyphrynium","Marantaceae"
"16646","Stachypitys disticha","Stachypitys","Podocarpaceae"
"16647","Stachys abrotanifolia","Stachys","Lamiaceae"
"16648","Stachystemon axillaris","Stachystemon","Picrodendraceae"
"16649","Stachytarpheta acuminata","Stachytarpheta","Verbenaceae"
"16650","Stachyurus chinensis","Stachyurus","Orchidaceae"
"16651","Stackhousia annua","Stackhousia","Celastraceae"
"16652","Stacyella crista-galli","Stacyella","Orchidaceae"
"16653","Stadiochilus burmanicus","Stadiochilus","Zingiberaceae"
"16654","Stadmania acuminata","Stadmania",NA
"16655","Staehelina apiculata","Staehelina","Asteraceae"
"16656","Staelia aurea","Staelia","Rubiaceae"
"16657","Stahlia monosperma","Stahlia","Fabaceae"
"16658","Stahlianthus involucratus","Stahlianthus","Zingiberaceae"
"16659","Stamnorchis recurva","Stamnorchis","Orchidaceae"
"16660","Standleya erecta","Standleya","Rubiaceae"
"16661","Stanfieldiella axillaris","Stanfieldiella","Commelinaceae"
"16662","Stanfordia californica","Stanfordia","Brassicaceae"
"16663","Stangea calchaquina","Stangea","Caprifoliaceae"
"16664","Stangeria eriopus","Stangeria","Zamiaceae"
"16665","Stanhopea anfracta","Stanhopea","Orchidaceae"
"16666","Stanhopeastrum pullum","Stanhopeastrum","Orchidaceae"
"16667","Stanleya albescens","Stanleya","Brassicaceae"
"16668","Stanleyella wrightii","Stanleyella","Brassicaceae"
"16669","Stanmarkia medialis","Stanmarkia","Melastomataceae"
"16670","Stapelia acuminata","Stapelia","Apocynaceae"
"16671","Stapelianthus arenarius","Stapelianthus","Apocynaceae"
"16672","Stapeliopsis breviloba","Stapeliopsis","Apocynaceae"
"16673","Stapfiella claoxyloides","Stapfiella","Passifloraceae"
"16674","Staphidiastrum latifolium","Staphidiastrum","Melastomataceae"
"16675","Staphidium hostmanii","Staphidium","Melastomataceae"
"16676","Staphisagria macrosperma","Staphisagria","Ranunculaceae"
"16677","Staphylea bolanderi","Staphylea","Cunoniaceae"
"16678","Stathmostelma angustatum","Stathmostelma","Apocynaceae"
"16679","Statice arborescens","Statice","Polygonaceae"
"16680","Staudtia gabonensis","Staudtia","Olacaceae"
"16681","Staufferia capuronii","Staufferia","Santalaceae"
"16682","Stauntonia brachyanthera","Stauntonia","Lardizabalaceae"
"16683","Stauracanthus aphyllus","Stauracanthus","Fabaceae"
"16684","Stauranthera coerulea","Stauranthera","Gesneriaceae"
"16685","Stauranthus conzattii","Stauranthus","Rutaceae"
"16686","Staurochilus agusanensis","Staurochilus","Orchidaceae"
"16687","Staurochlamys burchellii","Staurochlamys","Rubiaceae"
"16688","Staurogyne agrestis","Staurogyne","Acanthaceae"
"16689","Staurogynopsis capitata","Staurogynopsis","Acanthaceae"
"16690","Staurophragma natolicum","Staurophragma","Scrophulariaceae"
"16691","Stauropsis fasciata","Stauropsis","Orchidaceae"
"16692","Stawellia dimorphantha","Stawellia","Asphodelaceae"
"16693","Stayneria neilii","Stayneria","Aizoaceae"
"16694","Stebbinsoseris decipiens","Stebbinsoseris","Asteraceae"
"16695","Steenisia pleurocarpa","Steenisia","Rubiaceae"
"16696","Steenisioblechnum acuminatum","Steenisioblechnum","Aspleniaceae"
"16697","Steerecleus serrulatus","Steerecleus",NA
"16698","Steereella lilliana","Steereella",NA
"16699","Steereobryon subulirostrum","Steereobryon",NA
"16700","Steereochila ecuadorica","Steereochila",NA
"16701","Steereomitrium minutum","Steereomitrium",NA
"16702","Stefanoffia daucoides","Stefanoffia","Apiaceae"
"16703","Stegania fluviatilis","Stegania","Pteridaceae"
"16704","Steganotaenia araliacea","Steganotaenia","Acanthaceae"
"16705","Steganthera australiana","Steganthera","Monimiaceae"
"16706","Stegnogramma aspidioides","Stegnogramma","Aspleniaceae"
"16707","Stegnosperma cubense","Stegnosperma","Phytolaccaceae"
"16708","Stegocedrus austrocaledonica","Stegocedrus","Cupressaceae"
"16709","Stegolepis albiflora","Stegolepis","Rapateaceae"
"16710","Stegonia hyalinotricha","Stegonia",NA
"16711","Stegostyla alpina","Stegostyla","Orchidaceae"
"16712","Steinbachiella leptoclada","Steinbachiella","Fabaceae"
"16713","Steinchisma cupreum","Steinchisma","Poaceae"
"16714","Steirachne barbata","Steirachne","Poaceae"
"16715","Steiractinia aspera","Steiractinia","Asteraceae"
"16716","Steirodiscus capillaceus","Steirodiscus","Asteraceae"
"16717","Steiroglossa chamomillifolia","Steiroglossa","Asteraceae"
"16718","Steironema ciliatum","Steironema","Primulaceae"
"16719","Steiropteris deltoidea","Steiropteris","Aspleniaceae"
"16720","Stelechantha arcuata","Stelechantha","Proteaceae"
"16721","Stelechocarpus burahol","Stelechocarpus","Annonaceae"
"16722","Stelestylis stylaris","Stelestylis","Cyclanthaceae"
"16723","Stelis acicularis","Stelis","Loranthaceae"
"16724","Stellaria adulterina","Stellaria","Plantaginaceae"
"16725","Stellaster amblyopetalus","Stellaster","Asparagaceae"
"16726","Stellera chamaejasme","Stellera","Polygalaceae"
"16727","Stelligera endecaspinis","Stelligera","Apocynaceae"
"16728","Stellilabium alticola","Stellilabium","Orchidaceae"
"16729","Stelmagonum hahnianum","Stelmagonum","Apocynaceae"
"16730","Stelmocrypton khasianum","Stelmocrypton",NA
"16731","Stemmacantha uniflora","Stemmacantha","Asteraceae"
"16732","Stemmadenia abbreviata","Stemmadenia","Apocynaceae"
"16733","Stemmatella congesta","Stemmatella","Asteraceae"
"16734","Stemmatophyllum beccarii","Stemmatophyllum","Loranthaceae"
"16735","Stemodia angulata","Stemodia","Plantaginaceae"
"16736","Stemodiopsis buchananii","Stemodiopsis","Linderniaceae"
"16737","Stemodoxis juncea","Stemodoxis","Amaryllidaceae"
"16738","Stemona angusta","Stemona","Stemonaceae"
"16739","Stemonacanthus angustior","Stemonacanthus","Acanthaceae"
"16740","Stemonocoleus micranthus","Stemonocoleus","Fabaceae"
"16741","Stemonoporus gracilis","Stemonoporus","Dipterocarpaceae"
"16742","Stemonurus agusanensis","Stemonurus","Icacinaceae"
"16743","Stemotria triandra","Stemotria","Calceolariaceae"
"16744","Stenachaenium campestre","Stenachaenium","Asteraceae"
"16745","Stenactis ambigua","Stenactis","Malpighiaceae"
"16746","Stenandriopsis thomensis","Stenandriopsis","Acanthaceae"
"16747","Stenandrium affine","Stenandrium","Acanthaceae"
"16748","Stenanona carrillensis","Stenanona","Annonaceae"
"16749","Stenanthemum arens","Stenanthemum","Rhamnaceae"
"16750","Stenanthera conostephioides","Stenanthera","Calceolariaceae"
"16751","Stenanthium densum","Stenanthium","Melanthiaceae"
"16752","Stenaria butterwickiae","Stenaria","Rubiaceae"
"16753","Stenia bismarckii","Stenia","Primulaceae"
"16754","Stenocactus anfractuosus","Stenocactus","Cactaceae"
"16755","Stenocalyx dysentericus","Stenocalyx","Asteraceae"
"16756","Stenocarpha filiformis","Stenocarpha","Asteraceae"
"16757","Stenocarpidiopsis salicicola","Stenocarpidiopsis",NA
"16758","Stenocarpus acacioides","Stenocarpus","Asparagaceae"
"16759","Stenocephalum apiculatum","Stenocephalum","Asteraceae"
"16760","Stenocereus alamosensis","Stenocereus","Cactaceae"
"16761","Stenochlaena angusta","Stenochlaena","Cyatheaceae"
"16762","Stenocline chionaea","Stenocline","Asteraceae"
"16763","Stenocoelium athamantoides","Stenocoelium","Apiaceae"
"16764","Stenocoryne aureofulva","Stenocoryne","Orchidaceae"
"16765","Stenodesmus tenuicuspis","Stenodesmus",NA
"16766","Stenodictyon bisodalense","Stenodictyon",NA
"16767","Stenodon gracilis","Stenodon","Amaryllidaceae"
"16768","Stenodrepanum bergii","Stenodrepanum","Fabaceae"
"16769","Stenoglottis fimbriata","Stenoglottis","Polygonaceae"
"16770","Stenogonum flexum","Stenogonum","Polygonaceae"
"16771","Stenogrammitis anamorphosa","Stenogrammitis","Polypodiaceae"
"16772","Stenogyne affinis","Stenogyne","Asteraceae"
"16773","Stenolejeunea acuminata","Stenolejeunea",NA
"16774","Stenolepia tristis","Stenolepia","Polypodiaceae"
"16775","Stenolobium arboreum","Stenolobium","Commelinaceae"
"16776","Stenoloma chinensis","Stenoloma","Brassicaceae"
"16777","Stenomeria decalepis","Stenomeria","Apocynaceae"
"16778","Stenomeris borneensis","Stenomeris","Lindsaeaceae"
"16779","Stenomesson aurantiacum","Stenomesson","Amaryllidaceae"
"16780","Stenopadus andicola","Stenopadus","Asteraceae"
"16781","Stenopetalum anfractum","Stenopetalum","Annonaceae"
"16782","Stenophalium almasense","Stenophalium","Asteraceae"
"16783","Stenophyllus lanatus","Stenophyllus","Acanthaceae"
"16784","Stenops helodes","Stenops","Asteraceae"
"16785","Stenoptera acuta","Stenoptera","Acanthaceae"
"16786","Stenorrhipis madagascariensis","Stenorrhipis",NA
"16787","Stenorrhynchos albidomaculatum","Stenorrhynchos","Orchidaceae"
"16788","Stenosemia aurita","Stenosemia","Fabaceae"
"16789","Stenosemis angustifolia","Stenosemis","Apiaceae"
"16790","Stenosepala hirsuta","Stenosepala","Balsaminaceae"
"16791","Stenoseris graciliflora","Stenoseris","Asteraceae"
"16792","Stenosiphanthus duckei","Stenosiphanthus","Bignoniaceae"
"16793","Stenosiphonium confertum","Stenosiphonium","Acanthaceae"
"16794","Stenosiphon linifolius","Stenosiphon","Aristolochiaceae"
"16795","Stenosolenium saxatile","Stenosolenium","Boraginaceae"
"16796","Stenospermation adsimile","Stenospermation","Araceae"
"16797","Stenospermatium sessile","Stenospermatium",NA
"16798","Stenostachys deceptorix","Stenostachys","Asteraceae"
"16799","Stenostegia congesta","Stenostegia","Fabaceae"
"16800","Stenostelma capense","Stenostelma","Apocynaceae"
"16801","Stenostephanus aglaus","Stenostephanus","Acanthaceae"
"16802","Stenostomum acreanum","Stenostomum","Rubiaceae"
"16803","Stenotaenia macrocarpa","Stenotaenia","Apiaceae"
"16804","Stenotalis ramosissima","Stenotalis","Restionaceae"
"16805","Stenotaphrum dimidiatum","Stenotaphrum","Poaceae"
"16806","Stenotis arenaria","Stenotis","Orchidaceae"
"16807","Stenotus acaulis","Stenotus","Asteraceae"
"16808","Stenotyla lendyana","Stenotyla","Orchidaceae"
"16809","Stephanachne nigrescens","Stephanachne","Poaceae"
"16810","Stephanandra chinensis","Stephanandra","Rosaceae"
"16811","Stephanbeckia plumosa","Stephanbeckia","Asteraceae"
"16812","Stephania abyssinica","Stephania","Salicaceae"
"16813","Stephaniella boliviensis","Stephaniella",NA
"16814","Stephaniellidium sleumeri","Stephaniellidium",NA
"16815","Stephanina campanulata","Stephanina",NA
"16816","Stephanocereus leucostele","Stephanocereus","Cactaceae"
"16817","Stephanococcus crepinianus","Stephanococcus","Rubiaceae"
"16818","Stephanodaphne boivinii","Stephanodaphne","Thymelaeaceae"
"16819","Stephanodoria tomentella","Stephanodoria","Asteraceae"
"16820","Stephanomeria blairii","Stephanomeria","Asteraceae"
"16821","Stephanophysum tetragonum","Stephanophysum","Acanthaceae"
"16822","Stephanopodium angulatum","Stephanopodium","Dichapetalaceae"
"16823","Stephanostegia capuronii","Stephanostegia","Melastomataceae"
"16824","Stephanostema stenocarpum","Stephanostema","Apocynaceae"
"16825","Stephanothelys xystophylloides","Stephanothelys","Orchidaceae"
"16826","Stephanotis acuminata","Stephanotis","Apocynaceae"
"16827","Stephostachys mertensii","Stephostachys","Poaceae"
"16828","Steptorhamphus czerepanovii","Steptorhamphus","Asteraceae"
"16829","Sterculia abbreviata","Sterculia","Acanthaceae"
"16830","Stereocaryum ovigerum","Stereocaryum","Myrtaceae"
"16831","Stereocaulon alpinum","Stereocaulon","Lamiaceae"
"16832","Stereochilus brevirachis","Stereochilus","Orchidaceae"
"16833","Stereochlaena annua","Stereochlaena","Poaceae"
"16834","Stereodon asper","Stereodon",NA
"16835","Stereodontopsis excavata","Stereodontopsis",NA
"16836","Stereohypnum camptorhynchum","Stereohypnum",NA
"16837","Stereophyllum anceps","Stereophyllum","Aspleniaceae"
"16838","Stereosandra javanica","Stereosandra","Orchidaceae"
"16839","Stereospermum acuminatissimum","Stereospermum","Bignoniaceae"
"16840","Sterigmapetalum chrysophyllum","Sterigmapetalum","Rhizophoraceae"
"16841","Sterigmostemum acanthocarpum","Sterigmostemum","Brassicaceae"
"16842","Steriphoma cinnabarinum","Steriphoma","Capparaceae"
"16843","Sternbergia clusiana","Sternbergia","Amaryllidaceae"
"16844","Stethoma verticillaris","Stethoma","Acanthaceae"
"16845","Stetsonia coryne","Stetsonia","Cactaceae"
"16846","Steudnera colocasiifolia","Steudnera","Araceae"
"16847","Stevenia alyssoides","Stevenia","Brassicaceae"
"16848","Steveniella satyrioides","Steveniella","Orchidaceae"
"16849","Stevensia buxifolia","Stevensia","Rubiaceae"
"16850","Stevia achalensis","Stevia","Asteraceae"
"16851","Steviopsis adenosperma","Steviopsis","Asteraceae"
"16852","Stewartia calcicola","Stewartia","Theaceae"
"16853","Steyerbromelia deflexa","Steyerbromelia","Bromeliaceae"
"16854","Steyermarkia guatemalensis","Steyermarkia","Rubiaceae"
"16855","Steyermarkina dispalata","Steyermarkina","Asteraceae"
"16856","Steyermarkochloa angustifolia","Steyermarkochloa","Poaceae"
"16857","Stiburus alopecuroides","Stiburus","Poaceae"
"16858","Sticherus albus","Sticherus","Gleicheniaceae"
"16859","Stichianthus kinabaluensis","Stichianthus","Rubiaceae"
"16860","Stichoneuron calcicola","Stichoneuron","Stemonaceae"
"16861","Stichorkis coelogynoides","Stichorkis","Orchidaceae"
"16862","Stictocardia beraviensis","Stictocardia","Convolvulaceae"
"16863","Stictolejeunea balfourii","Stictolejeunea",NA
"16864","Stictophyllorchis pygmaea","Stictophyllorchis","Orchidaceae"
"16865","Stifftia cayennensis","Stifftia","Asteraceae"
"16866","Stigmaphyllon aberrans","Stigmaphyllon","Malpighiaceae"
"16867","Stigmatodactylus paradoxus","Stigmatodactylus","Orchidaceae"
"16868","Stigmatophyllon paralias","Stigmatophyllon",NA
"16869","Stigmatopteris alloeoptera","Stigmatopteris","Polypodiaceae"
"16870","Stigmatorhynchus umbellifer","Stigmatorhynchus","Apocynaceae"
"16871","Stigmatosema cochabambae","Stigmatosema","Orchidaceae"
"16872","Stilbe albiflora","Stilbe","Proteaceae"
"16873","Stilbocarpa lyallii","Stilbocarpa","Fabaceae"
"16874","Stilbophyllum toressae","Stilbophyllum","Asteraceae"
"16875","Stillingia acutifolia","Stillingia","Euphorbiaceae"
"16876","Stilpnogyne bellidioides","Stilpnogyne","Asteraceae"
"16877","Stilpnopappus apurensis","Stilpnopappus","Asteraceae"
"16878","Stilpnophyllum grandifolium","Stilpnophyllum","Phyllanthaceae"
"16879","Stimpsonia chamaedryoides","Stimpsonia","Primulaceae"
"16880","Stipa acrociliata","Stipa","Poaceae"
"16881","Stipagrostis acutiflora","Stipagrostis","Scrophulariaceae"
"16882","Stipecoma grandiflora","Stipecoma","Apocynaceae"
"16883","Stipella capensis","Stipella","Poaceae"
"16884","Stipellula capensis","Stipellula","Poaceae"
"16885","Stiptanthus polystachyus","Stiptanthus","Lamiaceae"
"16886","Stipularia africana","Stipularia","Ranunculaceae"
"16887","Stipulicida setacea","Stipulicida","Caryophyllaceae"
"16888","Stirlingia abrotanoides","Stirlingia","Proteaceae"
"16889","Stirtonanthus chrysanthus","Stirtonanthus","Fabaceae"
"16890","Stixis ovata","Stixis","Resedaceae"
"16891","Stizolobium deeringianum","Stizolobium","Fabaceae"
"16892","Stizolophus balsamita","Stizolophus","Asteraceae"
"16893","Stizophyllum glandulosum","Stizophyllum","Bignoniaceae"
"16894","Stobaea adenocarpa","Stobaea","Asteraceae"
"16895","Stocksia brahuica","Stocksia","Sapindaceae"
"16896","Stockwellia quadrifida","Stockwellia","Myrtaceae"
"16897","Stoebe aethiopica","Stoebe","Asteraceae"
"16898","Stoeberia arborea","Stoeberia","Aizoaceae"
"16899","Stoibrax capense","Stoibrax","Apiaceae"
"16900","Stokesia laevis","Stokesia","Asteraceae"
"16901","Stokesiella oregana","Stokesiella",NA
"16902","Stolonivector clasmatocoleoides","Stolonivector",NA
"16903","Stolonophora abnormis","Stolonophora",NA
"16904","Stolzia angustifolia","Stolzia","Orchidaceae"
"16905","Stomarrhena serratifolia","Stomarrhena","Ericaceae"
"16906","Stomatanthes africanus","Stomatanthes","Asteraceae"
"16907","Stomatium acutifolium","Stomatium","Aizoaceae"
"16908","Stomatochaeta acuminata","Stomatochaeta","Asteraceae"
"16909","Stomatostemma monteiroae","Stomatostemma","Apocynaceae"
"16910","Stonea oleaginosa","Stonea",NA
"16911","Stoneobryum bunyaense","Stoneobryum",NA
"16912","Stonesia gracilis","Stonesia","Podostemaceae"
"16913","Stonesiella selaginoides","Stonesiella","Fabaceae"
"16914","Storckiella australiensis","Storckiella","Fabaceae"
"16915","Stormia brasiliensis","Stormia","Annonaceae"
"16916","Storthocalyx chryseus","Storthocalyx","Sapindaceae"
"16917","Stracheya tibetica","Stracheya","Fabaceae"
"16918","Stramentopappus pooleae","Stramentopappus","Asteraceae"
"16919","Straminergon stramineum","Straminergon",NA
"16920","Strangea cynanchocarpa","Strangea","Proteaceae"
"16921","Strangweja spicata","Strangweja","Asparagaceae"
"16922","Stranvaesia amphidoxa","Stranvaesia","Rosaceae"
"16923","Strasburgeria robusta","Strasburgeria","Strasburgeriaceae"
"16924","Stratiotes aloides","Stratiotes","Asparagaceae"
"16925","Straussia sessilis","Straussia","Rubiaceae"
"16926","Streblacanthus amoenus","Streblacanthus","Acanthaceae"
"16927","Streblochaete longiarista","Streblochaete","Poaceae"
"16928","Streblorrhiza speciosa","Streblorrhiza","Fabaceae"
"16929","Streblosa tortilis","Streblosa","Rubiaceae"
"16930","Streblotrichum convolutum","Streblotrichum",NA
"16931","Streblus anthropophagorum","Streblus","Moraceae"
"16932","Strelitzia alba","Strelitzia","Cyperaceae"
"16933","Strempelia indulgens","Strempelia","Rubiaceae"
"16934","Strempeliopsis strempelioides","Strempeliopsis","Apocynaceae"
"16935","Strephonema gilletii","Strephonema","Combretaceae"
"16936","Strepsilejeunea acuminata","Strepsilejeunea",NA
"16937","Streptanthella longirostris","Streptanthella","Brassicaceae"
"16938","Streptanthus albidus","Streptanthus","Brassicaceae"
"16939","Streptocalypta lorentziana","Streptocalypta",NA
"16940","Streptocalyx arenarius","Streptocalyx","Bromeliaceae"
"16941","Streptocarpus afroviola","Streptocarpus","Apocynaceae"
"16942","Streptocaulon cumingii","Streptocaulon","Lamiaceae"
"16943","Streptochaeta angustifolia","Streptochaeta","Poaceae"
"16944","Streptocolea atrata","Streptocolea",NA
"16945","Streptoechites chinensis","Streptoechites","Apocynaceae"
"16946","Streptoglossa adscendens","Streptoglossa","Asteraceae"
"16947","Streptogyna americana","Streptogyna","Poaceae"
"16948","Streptogyne americana","Streptogyne","Orchidaceae"
"16949","Streptolirion volubile","Streptolirion","Commelinaceae"
"16950","Streptoloma desertorum","Streptoloma","Brassicaceae"
"16951","Streptopetalum serratum","Streptopetalum","Passifloraceae"
"16952","Streptopogon brasiliensis","Streptopogon",NA
"16953","Streptopus amplexifolius","Streptopus","Fabaceae"
"16954","Streptosiphon hirsutus","Streptosiphon","Acanthaceae"
"16955","Streptosolen jamesonii","Streptosolen","Solanaceae"
"16956","Streptostachys acuminata","Streptostachys","Arecaceae"
"16957","Streptothamnus moorei","Streptothamnus","Asteraceae"
"16958","Streptotrichum ramicola","Streptotrichum","Asteraceae"
"16959","Striga aequinoctialis","Striga","Ebenaceae"
"16960","Strigilia aurea","Strigilia","Styracaceae"
"16961","Strigosella africana","Strigosella","Brassicaceae"
"16962","Strobilanthes abbreviata","Strobilanthes","Acanthaceae"
"16963","Strobilanthopsis linifolia","Strobilanthopsis","Acanthaceae"
"16964","Strobilanthus pluriformis","Strobilanthus",NA
"16965","Strobilopanax macrocarpus","Strobilopanax","Araliaceae"
"16966","Strobilopsis wrightii","Strobilopsis","Scrophulariaceae"
"16967","Strobocalyx arborea","Strobocalyx","Asteraceae"
"16968","Stroganowia tiehmii","Stroganowia","Brassicaceae"
"16969","Stromanthe angustifolia","Stromanthe","Marantaceae"
"16970","Stromatopteris moniliformis","Stromatopteris","Gleicheniaceae"
"16971","Strombocactus disciformis","Strombocactus","Cactaceae"
"16972","Strombosia ceylanica","Strombosia","Acanthaceae"
"16973","Strombosiopsis glaucescens","Strombosiopsis","Olacaceae"
"16974","Strongylodon agusanensis","Strongylodon","Fabaceae"
"16975","Strophacanthus membranifolius","Strophacanthus","Acanthaceae"
"16976","Strophanthus amboensis","Strophanthus","Apocynaceae"
"16977","Strophioblachia fimbricalyx","Strophioblachia","Euphorbiaceae"
"16978","Strophocactus testudo","Strophocactus","Cactaceae"
"16979","Strophopappus bicolor","Strophopappus","Asteraceae"
"16980","Strophostyles angulosa","Strophostyles","Fabaceae"
"16981","Strotheria gypsophila","Strotheria","Asteraceae"
"16982","Strozzia obovata","Strozzia",NA
"16983","Struchium sparganophorum","Struchium","Asteraceae"
"16984","Struckia argentata","Struckia",NA
"16985","Strumaria aestivalis","Strumaria","Fabaceae"
"16986","Strumpfia maritima","Strumpfia","Rubiaceae"
"16987","Struthanthus acostensis","Struthanthus","Loranthaceae"
"16988","Struthiola angustiloba","Struthiola","Thymelaeaceae"
"16989","Struthiopteris amabilis","Struthiopteris","Osmundaceae"
"16990","Strychnopsis thouarsii","Strychnopsis","Menispermaceae"
"16991","Strychnos aculeata","Strychnos","Bignoniaceae"
"16992","Stryphnodendron adstringens","Stryphnodendron","Fabaceae"
"16993","Stuartina hamata","Stuartina","Asteraceae"
"16994","Stuckenia amblyophylla","Stuckenia","Potamogetonaceae"
"16995","Stuckertiella capitata","Stuckertiella","Asteraceae"
"16996","Stuebelia nemorosa","Stuebelia","Capparaceae"
"16997","Stuessya apiculata","Stuessya","Asteraceae"
"16998","Stuhlmannia moavi","Stuhlmannia","Fabaceae"
"16999","Stutzia covillei","Stutzia","Amaranthaceae"
"17000","Stylapterus barbatus","Stylapterus","Penaeaceae"
"17001","Stylidium accedens","Stylidium","Cornaceae"
"17002","Stylisma abdita","Stylisma","Convolvulaceae"
"17003","Stylobasium lineare","Stylobasium","Surianaceae"
"17004","Styloceras brokawii","Styloceras","Buxaceae"
"17005","Stylochaeton borumensis","Stylochaeton","Annonaceae"
"17006","Stylochiton barteri","Stylochiton",NA
"17007","Stylocline citroleum","Stylocline","Asteraceae"
"17008","Stylodon carneus","Stylodon","Verbenaceae"
"17009","Stylogyne aguarunana","Stylogyne","Primulaceae"
"17010","Stylolejeunea spiniloba","Stylolejeunea",NA
"17011","Stylomecon heterophylla","Stylomecon","Papaveraceae"
"17012","Stylophorum diphyllum","Stylophorum","Brassicaceae"
"17013","Stylophyllum hassei","Stylophyllum","Crassulaceae"
"17014","Stylosanthes acuminata","Stylosanthes","Orchidaceae"
"17015","Stylosiphonia glabra","Stylosiphonia","Rubiaceae"
"17016","Stylostegium caespiticium","Stylostegium",NA
"17017","Stylotrichium corymbosum","Stylotrichium","Asteraceae"
"17018","Stypandra glauca","Stypandra","Asphodelaceae"
"17019","Styphelia abietina","Styphelia","Ericaceae"
"17020","Styphnolobium affine","Styphnolobium","Ginkgoaceae"
"17021","Styppeiochloa catherineana","Styppeiochloa","Poaceae"
"17022","Styrax acuminatus","Styrax","Styracaceae"
"17023","Styrophyton caudatum","Styrophyton","Melastomataceae"
"17024","Suaeda acuminata","Suaeda","Amaranthaceae"
"17025","Suarezia ecuadorana","Suarezia","Orchidaceae"
"17026","Suberanthus brachycarpus","Suberanthus","Rubiaceae"
"17027","Subpilocereus repandus","Subpilocereus","Cactaceae"
"17028","Subularia aquatica","Subularia","Primulaceae"
"17029","Succisa australis","Succisa","Eriocaulaceae"
"17030","Succisella andreae-molinae","Succisella","Caprifoliaceae"
"17031","Succowia balearica","Succowia","Brassicaceae"
"17032","Suchtelenia acanthocarpa","Suchtelenia","Boraginaceae"
"17033","Suckleya suckleyana","Suckleya","Amaranthaceae"
"17034","Sucrea maculata","Sucrea","Poaceae"
"17035","Sudamerlycaste acaroi","Sudamerlycaste","Orchidaceae"
"17036","Suessenguthia barthleniana","Suessenguthia","Acanthaceae"
"17037","Suessenguthiella scleranthoides","Suessenguthiella","Molluginaceae"
"17038","Suksdorfia ranunculifolia","Suksdorfia","Saxifragaceae"
"17039","Sulaimania otostegioides","Sulaimania","Lamiaceae"
"17040","Sulcolluma foulcheri-delboscii","Sulcolluma","Apocynaceae"
"17041","Sulcorebutia canigueralii","Sulcorebutia","Cactaceae"
"17042","Sulla capitata","Sulla","Fabaceae"
"17043","Sullivania minor","Sullivania","Orchidaceae"
"17044","Sullivantia hapemanii","Sullivantia","Saxifragaceae"
"17045","Sumbaviopsis albicans","Sumbaviopsis","Euphorbiaceae"
"17046","Summerhayesia laurentii","Summerhayesia","Orchidaceae"
"17047","Sundacarpus amarus","Sundacarpus","Podocarpaceae"
"17048","Sunipia andersonii","Sunipia","Orchidaceae"
"17049","Suregada adenophora","Suregada","Euphorbiaceae"
"17050","Suriana maritima","Suriana","Solanaceae"
"17051","Surreya diandra","Surreya","Amaranthaceae"
"17052","Sutera accrescens","Sutera","Scrophulariaceae"
"17053","Suteria hookeriana","Suteria","Rubiaceae"
"17054","Sutherlandia frutescens","Sutherlandia","Apiaceae"
"17055","Suttonia kermadecensis","Suttonia","Primulaceae"
"17056","Suzukia luchuensis","Suzukia","Lamiaceae"
"17057","Svensonia hyderabadensis","Svensonia","Verbenaceae"
"17058","Sventenia bupleuroides","Sventenia","Asteraceae"
"17059","Svitramia hatschbachii","Svitramia","Melastomataceae"
"17060","Swainsona acuticarinata","Swainsona","Fabaceae"
"17061","Swallenia alexandrae","Swallenia","Poaceae"
"17062","Swammerdamia antennaria","Swammerdamia","Asteraceae"
"17063","Swartzia acreana","Swartzia","Gentianaceae"
"17064","Sweetia atrata","Sweetia","Fabaceae"
"17065","Swertia abyssinica","Swertia","Asteraceae"
"17066","Swida alba","Swida","Cornaceae"
"17067","Swietenia chloroxylon","Swietenia","Rutaceae"
"17068","Swinglea glutinosa","Swinglea","Rutaceae"
"17069","Swintonia floribunda","Swintonia","Anacardiaceae"
"17070","Syagrus allagopteroides","Syagrus","Arecaceae"
"17071","Sycoparrotia semidecidua","Sycoparrotia","Hamamelidaceae"
"17072","Sycopsis philippinensis","Sycopsis","Hamamelidaceae"
"17073","Sykesia koenigii","Sykesia","Rubiaceae"
"17074","Sylibum marianum","Sylibum",NA
"17075","Sylphia fuegii","Sylphia","Orchidaceae"
"17076","Sylvichadsia grandidieri","Sylvichadsia","Fabaceae"
"17077","Sylvipoa queenslandica","Sylvipoa","Poaceae"
"17078","Symbegonia geraniifolia","Symbegonia","Begoniaceae"
"17079","Symbiezidium barbiflorum","Symbiezidium",NA
"17080","Symblepharis fragilis","Symblepharis",NA
"17081","Symbolanthus alboarenicola","Symbolanthus","Gentianaceae"
"17082","Symbryon tetrastachym","Symbryon","Salicaceae"
"17083","Symmeria paniculata","Symmeria","Urticaceae"
"17084","Symonanthus aromaticus","Symonanthus","Solanaceae"
"17085","Sympagis monadelpha","Sympagis","Acanthaceae"
"17086","Sympegma regelii","Sympegma","Amaranthaceae"
"17087","Sympetalandra unijuga","Sympetalandra","Fabaceae"
"17088","Sympetaleia rupestris","Sympetaleia","Loasaceae"
"17089","Symphionema montanum","Symphionema","Proteaceae"
"17090","Symphipappus viscosus","Symphipappus","Asteraceae"
"17091","Symphonia clusioides","Symphonia","Lamiaceae"
"17092","Symphorema involucratum","Symphorema","Lamiaceae"
"17093","Symphoria racemosa","Symphoria","Caprifoliaceae"
"17094","Symphoricarpos acutus","Symphoricarpos","Myrtaceae"
"17095","Symphoricarpus albus","Symphoricarpus","Caprifoliaceae"
