source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,trifrons,Rubus trifrons,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,tardatus,Rubus tardatus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,biformispinus,Rubus biformispinus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,parlinii,Rubus parlinii,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,permixtus,Rubus permixtus,endo,black,shrub,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,adjacens,Rubus adjacens,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,multispinus,Rubus multispinus,endo,black,,20
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,arundelanus,Rubus arundelanus,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,setosus,Rubus setosus,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,lawrencei,Rubus lawrencei,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,vermontianus,Rubus vermontianus,endo,black,,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,univocus,Rubus univocus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,semisetosus,Rubus semisetosus,endo,black,,7
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,ortivus,Rubus ortivus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,perinvisus,Rubus perinvisus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,ascendens,Rubus ascendens,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,canadensis,Rubus canadensis,endo,black,,12
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,amicalis,Rubus amicalis,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,elegantulus,Rubus elegantulus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,miscix,Rubus miscix,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,kennedyanus,Rubus kennedyanus,endo,black,,NA
