sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Rytidosperma nigricans,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Rytidosperma nudum,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Rytidosperma petrosum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma pulchrum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma pumilum,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma setifolium,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma telmaticum,herb,floret,"""   ""","""   """,,wind,water,attachment,,wind
Rytidosperma tenue,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma thomsonii,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma unarede,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Rytidosperma viride,herb,floret,"""   ""","""   """,,wind,attachment,,,wind
Samolus repens,herb,seed,small,"seed small, shallowly reticulate",attached in mud ,water,wind,attachment,,water
Sarcocornia quinqueflora,herb,nutlet,spongy,. Perianth cells air filled ,. Dimorphic,water,,,,water
Scaevola gracilis,herb,drupe,fleshy,exocarp succulent,"1930, Carlquist 1967, Smith",frugivory,water,,,endo
Scandia geniculata,herb,mericarp,winged,"""   """,,wind,,,,wind
Schefflera digitata,tree,baccate,fleshy,"""   """,1981,frugivory,,,,endo
Schizaea  ,fern,spore,minute,"""   "", wind ","Spores large, may have oil",wind,,,,wind
Schizaea bifida,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Schizaea dichotoma,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Schizaea fistulosa,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Schizeilema  ,herb,schizocarp,,some with flaky surface,,wind,water,,,wind
Schizeilema  ,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema allanii,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema cockaynei,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema colensoi,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema exiguum,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema haastii,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema hydrocotyloides,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema nitens,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema pallidum,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema reniforme,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema roughii,herb,schizocarp,,"""   """,,wind,water,,,wind
Schizeilema trifoliolatum,herb,schizocarp,,"""   """,,wind,water,,,wind
Schoenoplectus pungens,herb,nut,bristle,"hypogenous bristles present, some retrorse barbed",,water,granivory,wind,attachment,water
Schoenoplectus tabernaemontani,herb,nut,bristle,"""   ""","""   """,water,granivory,wind,attachment,water
Schoenus apogon,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus brevifolius,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus carsei,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus concinnus,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus fluitans,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus maschalinus,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus nitens,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus pauciflorus,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Schoenus tendo,herb,nut,bristle,"""   ""","""   """,wind,water,,,wind
Scirpus polystachyus,herb,nut,",",,,water,granivory,attachment,,water
Scleranthus  ,herb,perigynous,,peduncle ,granivory ,wind,capsule,,,wind
Scleranthus biflorus,herb,perigynous,,"""   ""","""   """,wind,capsule,,,wind
Scleranthus brockiei,herb,perigynous,,"""   ""","""   """,wind,capsule,,,wind
Scleranthus uniflorus,herb,"""   ""","""   """,,,wind,capsule,,,wind
Scutellaria novae-zelandiae,herb,nutlet,,ballistically then by water ,", ballistic",ballistic,water,,,ballistic
Sebaea ovata,herb,seed,minute,testa reticulate,,wind,water,,,wind
Selliera microphylla,herb,seed,winged,"capsule succulent, seed winged ",,wind,attachment,,,wind
Selliera radicans,herb,seed,winged,"""   ""","""   """,wind,attachment,,,wind
Selliera rotundifolia,herb,seed,winged,"""   ""","""   """,wind,attachment,,,wind
Senecio  ,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio  ,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio  ,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio  ,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio australis,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio banksii,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio biserratus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio carnosulus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio dunedinensis,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio glaucophyllus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio glomeratus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio hauwai,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio hispidulus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio kermadecensis,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio lautus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio marotiri,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio minimus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio quadridentatus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio radiolatus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio repangae,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio rufiglandulosus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio scaberulus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio sterquilinus,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Senecio wairauensis,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Sicyos  ,herb,fruit,spines,spined,"""   """,attachment,,,,attach
Simplicia buchananii,herb,floret,,,,wind,attachment,,,wind
Simplicia laxa,herb,floret,,"""   """,,wind,attachment,,,wind
Simpliglottis cornuta,herb,seed,minute,,,wind,,,,wind
Simpliglottis valida,herb,seed,minute,,,wind,,,,wind
Singularybas  ,herb,seed,minute,,,wind,,,,wind
Singularybas oblongus,herb,seed,minute,,,wind,,,,wind
Solanum americanum,herb,berry,fleshy,,Benson and McDougall,frugivory,,,,endo
Solanum aviculare,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Solanum laciniatum,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Sonchus kirkii,herb,cypsela,pappate,"cypsela body ribbed and winged, pappus caducous",,wind,,,,wind
Sophora chathamica,tree,seed,,. Wardle  reports wind and water,water ,wind,water,granivory,,wind
Sophora fulvida,tree,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora godleyi,tree,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora longicarinata,tree,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora microphylla,tree,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora molloyi,shrub,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora prostrata,shrub,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sophora tetraptera,tree,seed,,"""   ""","""   """,wind,water,granivory,,wind
Sparganium subglobosum,herb,fruit,,fruit beaked,"et al. 2002, Mueller and van",water,granivory,attachment,,water
Spergularia media,herb,seed,winged,heteromorphic seed,.,wind,water,,,wind
Spinifex sericeus,herb,inflorescence,,,"glume and lemma villous, bracts long",mobile,,,,unassisted
Spiranthes  ,herb,seed,minute,water ,,wind,water,,,wind
Spiranthes novae-zelandiae,herb,seed,minute,"""   """,,wind,water,,,wind
Sporadanthus ferrugineus,herb,seed,,testa reticulate,,water,,,,water
Sporadanthus traversii,herb,seed,,"""   """,,water,,,,water
Sprengelia incarnata,shrub,seed,,seed details unknown,,wind,,,,wind
Stackhousia minima,herb,mericarp,,testa with stomata,wind ,wind,,,,wind
Stegostyla  ,herb,seed,minute,,,wind,,,,wind
Stegostyla   agg.,herb,seed,minute,,,wind,,,,wind
Stegostyla atradenia,herb,seed,minute,,,wind,,,,wind
Stegostyla lyallii,herb,seed,minute,,,wind,,,,wind
Stellaria  ,herb,seed,censer,"pappilate, mammate to colliculate testa",granivory ,ballistic,wind,,,ballistic
Stellaria decipiens,herb,seed,censer,"""   ""","""   """,ballistic,wind,,,ballistic
Stellaria elatinoides,herb,seed,censer,"""   ""","""   """,ballistic,wind,,,ballistic
Stellaria gracilenta,herb,seed,censer,"""   ""","""   """,ballistic,wind,,,ballistic
Stellaria parviflora,herb,seed,censer,"""   ""","""   """,ballistic,wind,,,ballistic
Stellaria roughii,herb,seed,censer,"""   ""","""   """,ballistic,wind,,,ballistic
Stenostachys deceptorix,herb,floret,,,"lemma short awned, hairy",wind,,,,wind
Stenostachys gracilis,herb,floret,,,"""   """,wind,,,,wind
Stenostachys laevis,herb,floret,,,"""   """,wind,,,,wind
Sticherus cunninghamii,fern,spore,minute,"""   "", wind ",water ,wind,water,,,wind
Sticherus flabellatus,fern,spore,minute,"""   ""","""   """,wind,water,,,wind
Sticherus tener,fern,spore,minute,"""   ""","""   """,wind,water,,,wind
Stilbocarpa lyallii,herb,baccate,subfleshy,exocarp fleshy,,frugivory,,,,endo
Stilbocarpa polaris,herb,baccate,subfleshy,"""   """,,frugivory,,,,endo
Stilbocarpa robusta,herb,baccate,subfleshy,"""   """,,frugivory,,,,endo
Streblus banksii,tree,drupe,fleshy,,Benson and McDougall,frugivory,,,,endo
Streblus heterophyllus,tree,drupe,fleshy,,"""   """,frugivory,,,,endo
Streblus smithii,shrub,drupe,fleshy,,"""   """,frugivory,,,,endo
Stuckenia pectinata,herb,achene,,,"water, granivory ",water,granivory,,,water
Suaeda novae-zelandiae,herb,nutlet,,exocarp persistent Nutlet glossy,",",water,granivory,,,water
Sullivania minor,herb,seed,minute,,,wind,,,,wind
Syzygium maire,tree,berry,fleshy,,"Proenca 1996, Benson and",frugivory,water,,,endo
Taraxacum  ,herb,cypsela,pappate,"cypsela spined, pappus on stalk, caducous",wind ,wind,,,,wind
Taraxacum  ,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Taraxacum castellanum,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Taraxacum magellanicum,herb,cypsela,pappate,"""   ""","""   """,wind,,,,wind
Tecomanthe speciosa,vine,seed,winged,broadly winged,,wind,,,,wind
Tetrachondra hamiltonii,herb,nutlet,hairy,dispersal by mud encrustation ,,water,attachment,,,water
Tetragonia implexicoma,vine,fruit,,"fruit green, endocarp horned",,water,wind,capsule,,water
Tetragonia tetragonioides,vine,fruit,fleshy,fleshy,,frugivory,,,,endo
Tetraria capillaris,herb,nut,,,"style base long, pubescent",wind,,,,wind
Teucridium parvifolium,shrub,nutlet,,. Capsule detaches ,,wind,water,,,wind
Thelymitra  ,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra  ,herb,seed,minute,wind ,,wind,,,,wind
Thelymitra  ,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra  ,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra  ,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra  ,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra aemula,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra circumsepta,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra colensoi,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra cyanea,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra fimbriata,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra formosa,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra hatchii,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra imberbis,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra longifolia agg.,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra malvina,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra matthewsii,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra media,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra nervosa,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra pauciflora agg.,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra pulchella agg.,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra sanscilia,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelymitra tholiformis,herb,seed,minute,"""   ""","""   """,wind,,,,wind
Thelypteris confluens,fern,spore,minute,"""   """,,wind,,,,wind
Thismia rodwayi,herb,fruit,fleshy,,,wind,capsule,,,wind
Tmesipteris elongata,fern ally,spore,minute,"""   """,,wind,,,,wind
Tmesipteris lanceolata,fern ally,spore,minute,"""   """,,wind,,,,wind
Tmesipteris sigmatifolia,fern ally,spore,minute,"""   """,,wind,,,,wind
Tmesipteris tannensis,fern ally,spore,minute,"""   """,,wind,,,,wind
Todea barbara,fern,spore,minute,"""   """,,wind,,,,wind
Toronia toru,tree,drupe,fleshy,,frugivory ,frugivory,,,,endo
Townsonia deflexa,herb,seed,minute,,,wind,,,,wind
Traversia baccharoides,shrub,achene,pappate,pappate,,wind,,,,wind
Trichomanes  ,fern,spore,minute,"""   """,chlorophyllous ,wind,,,,wind
Trichomanes colensoi,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Trichomanes elongatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Trichomanes endlicherianum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Trichomanes reniforme,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Trichomanes strictum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Trichomanes venosum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Triglochin palustris,herb,mericarp,,,"Huiskes et al. 1995, Benson",water,wind,,,water
Triglochin striata,herb,mericarp,,,"""   """,water,wind,,,water
Trilepidia adamsii,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Trisetum  ,herb,caryopsis,,lemma short awned,"1967, Dixon 1995, Melcher",wind,attachment,,,wind
Trisetum  ,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum antarcticum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum arduanum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum drucei,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum lasiorhachis,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum lepidum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum serpentinum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum spicatum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum tenellum,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trisetum youngii,herb,caryopsis,,"""   ""","""   """,wind,attachment,,,wind
Trithuria inconspicua,herb,fruit,,", indehiscent pericarp in fruit ",,water,,,,water
Tupeia antarctica,shrub,berry,fleshy,fruit details in Smart ,"""   """,frugivory,,,,endo
Typha orientalis,herb,fruit,pappate,hairy gynophore,", germinates",wind,water,,,wind
Uncinia  ,herb,utricle,hooked,,utricle scabrid in some species. Attachment ,attachment,wind,,,attach
Uncinia  ,herb,utricle,hooked,"""   """,,attachment,wind,,,attach
Uncinia  ,herb,utricle,hooked,"""   """,,attachment,wind,,,attach
Uncinia astonii,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia aucklandica,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia banksii,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia caespitosa,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia clavata,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia distans,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia divaricata,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia drucei,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia egmontiana,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia elegans,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia ferruginea,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia filiformis,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia fuscovaginata,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia gracilenta,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia hookeri,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia involuta,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia laxiflora,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia leptostachya,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia longifructus,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia nervosa,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia obtusifolia,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia perplexa,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia purpurata,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia rubra,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia rupestris,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia scabra,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia silvestris,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia sinclairii,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia strictissima,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia uncinata,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia viridis,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Uncinia zotovii,herb,utricle,hooked,"""","""",attachment,wind,,,attach
Urtica aspera,herb,cup,hiary,,"1948, Benson and",water,wind,attachment,,water
Urtica aucklandica,herb,perianthous,hiary,"""   ""","""   """,water,wind,attachment,,water
Urtica australis,herb,cup,hiary,"""   ""","""   """,water,wind,attachment,,water
Urtica ferox,shrub,cup,hiary,,"""   """,water,wind,attachment,,water
Urtica incisa,herb,perianthous,hiary,"""   ""","""   """,water,wind,attachment,,water
Urtica linearifolia,herb,perianthous,hiary,"""   ""","""   """,water,wind,attachment,,water
Utricularia australis,herb,seed,,"colliculate, wings absent in NZ spp. ","1930, Razi 1950, Benson",water,wind,attachment,,water
Utricularia delicatula,herb,seed,,"""   ""","""   """,water,wind,attachment,,water
Utricularia dichotoma,herb,seed,,"""   ""","""   """,water,wind,attachment,,water
Veronica plebeia,herb,seed,,,,wind,,,,wind
Viola  ,herb,seed,arillate,V. cunninghamii lacks aril. See Spence ,"Salisbury 1975, van der Pijl",ballistic,ant,,,ballistic
Viola  ,herb,seed,arillate,"""   ""","""   """,ballistic,ant,,,ballistic
Viola cunninghamii,herb,seed,arillate,"""   ""","""   """,ballistic,ant,,,ballistic
Viola filicaulis,herb,seed,arillate,"""   ""","""   """,ballistic,ant,,,ballistic
